cmd,returncode,wall_time_sec,cpu_time_sec,peak_memory_bytes,timestamp
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10838723182678223,0.0,4886528,2025-11-12T23:09:03.744355
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.11004185676574707,0.0,2289664,2025-11-12T23:09:04.296452
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10955977439880371,0.015625,4890624,2025-11-12T23:09:04.840356
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10924077033996582,0.0,4890624,2025-11-12T23:09:05.385583
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10854697227478027,0.0,4890624,2025-11-12T23:09:05.943406
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10828089714050293,0.0,4890624,2025-11-12T23:09:06.498055
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10887646675109863,0.0,4890624,2025-11-12T23:09:07.063387
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10907196998596191,0.0,4894720,2025-11-12T23:09:07.598671
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10865998268127441,0.0,4894720,2025-11-12T23:09:08.153670
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1083531379699707,0.0,4886528,2025-11-12T23:09:08.689265
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10962772369384766,0.0,4898816,2025-11-12T23:09:09.236475
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10849523544311523,0.0,4894720,2025-11-12T23:09:09.821830
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1092686653137207,0.015625,4894720,2025-11-12T23:09:10.376168
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10770726203918457,0.0,4886528,2025-11-12T23:09:11.032403
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10930395126342773,0.0,4644864,2025-11-12T23:09:11.581047
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10897016525268555,0.0,4894720,2025-11-12T23:09:12.138059
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10776996612548828,0.0,4894720,2025-11-12T23:09:12.692159
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10927248001098633,0.0,4894720,2025-11-12T23:09:13.233122
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10893368721008301,0.0,4894720,2025-11-12T23:09:13.780661
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10888457298278809,0.0,4894720,2025-11-12T23:09:14.327471
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10877084732055664,0.0,4894720,2025-11-12T23:09:14.875428
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10802268981933594,0.0,4890624,2025-11-12T23:09:15.426985
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10963726043701172,0.0,4894720,2025-11-12T23:09:15.985501
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10849213600158691,0.0,4894720,2025-11-12T23:09:16.537354
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10844850540161133,0.0,4894720,2025-11-12T23:09:17.152085
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10818696022033691,0.0,4894720,2025-11-12T23:09:17.712238
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1088709831237793,0.0,4886528,2025-11-12T23:09:18.278324
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10857534408569336,0.0,4894720,2025-11-12T23:09:18.831759
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10818791389465332,0.015625,4898816,2025-11-12T23:09:19.393040
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10843205451965332,0.0,4894720,2025-11-12T23:09:19.948459
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10845184326171875,0.0,4894720,2025-11-12T23:09:20.500916
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10948801040649414,0.0,2260992,2025-11-12T23:09:21.047079
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.057248830795288086,0.0,2265088,2025-11-12T23:09:21.604465
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10816311836242676,0.0,4886528,2025-11-12T23:09:22.105167
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10897207260131836,0.015625,5312512,2025-11-12T23:09:22.668426
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10904788970947266,0.0,4890624,2025-11-12T23:09:23.236922
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10799312591552734,0.0,4894720,2025-11-12T23:09:23.787594
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1073312759399414,0.0,4898816,2025-11-12T23:09:24.325614
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1083528995513916,0.0,4890624,2025-11-12T23:09:24.876898
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10831165313720703,0.0,4894720,2025-11-12T23:09:25.438174
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10846781730651855,0.0,4890624,2025-11-12T23:09:25.995179
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10952186584472656,0.0,4894720,2025-11-12T23:09:26.560292
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1078958511352539,0.0,4898816,2025-11-12T23:09:27.121270
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10829019546508789,0.0,4890624,2025-11-12T23:09:27.693299
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10856318473815918,0.0,4890624,2025-11-12T23:09:28.244969
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10865211486816406,0.0,4890624,2025-11-12T23:09:28.794027
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10874199867248535,0.015625,4894720,2025-11-12T23:09:29.364698
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1082451343536377,0.015625,4890624,2025-11-12T23:09:29.903262
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10837721824645996,0.0,4898816,2025-11-12T23:09:30.466598
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.11074686050415039,0.0,5173248,2025-11-12T23:09:31.019453
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10917806625366211,0.015625,4902912,2025-11-12T23:09:31.584646
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10898804664611816,0.0,4894720,2025-11-12T23:09:32.144784
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1079096794128418,0.0,4890624,2025-11-12T23:09:32.811364
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10862040519714355,0.0,4886528,2025-11-12T23:09:33.372803
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10821890830993652,0.0,4890624,2025-11-12T23:09:33.926477
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10949325561523438,0.015625,4894720,2025-11-12T23:09:34.465706
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10931158065795898,0.0,4890624,2025-11-12T23:09:35.019383
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10844016075134277,0.0,4894720,2025-11-12T23:09:35.562386
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1092383861541748,0.0,4878336,2025-11-12T23:09:36.112069
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10919451713562012,0.0,4890624,2025-11-12T23:09:36.650589
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10970020294189453,0.0,4894720,2025-11-12T23:09:37.207158
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.05791783332824707,0.0,2260992,2025-11-12T23:09:37.744607
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10892367362976074,0.0,4890624,2025-11-12T23:09:38.248069
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10862874984741211,0.0,4653056,2025-11-12T23:09:38.791294
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1084442138671875,0.0,4894720,2025-11-12T23:09:39.354027
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10863018035888672,0.0,4894720,2025-11-12T23:09:39.908557
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10839080810546875,0.0,4894720,2025-11-12T23:09:40.561181
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10815715789794922,0.0,4894720,2025-11-12T23:09:41.117779
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10844111442565918,0.0,4902912,2025-11-12T23:09:41.676544
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10854029655456543,0.0,4890624,2025-11-12T23:09:42.219339
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10862994194030762,0.0,4902912,2025-11-12T23:09:42.783560
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10887432098388672,0.0,4890624,2025-11-12T23:09:43.325818
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10930895805358887,0.0,5390336,2025-11-12T23:09:43.876814
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.05814075469970703,0.0,2265088,2025-11-12T23:09:44.421785
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10836148262023926,0.0,4890624,2025-11-12T23:09:44.925537
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10842537879943848,0.0,4894720,2025-11-12T23:09:45.480215
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1085348129272461,0.015625,4550656,2025-11-12T23:09:46.053636
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1084740161895752,0.0,4890624,2025-11-12T23:09:46.593979
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10883569717407227,0.0,4894720,2025-11-12T23:09:47.151323
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10881996154785156,0.0,4075520,2025-11-12T23:09:47.697558
